"OWNER","CONSTRAINT_NAME","CONSTRAINT_TYPE","TABLE_NAME","SEARCH_CONDITION","SEARCH_CONDITION_VC","R_OWNER","R_CONSTRAINT_NAME","DELETE_RULE","STATUS","DEFERRABLE","DEFERRED","VALIDATED","GENERATED","BAD","RELY","LAST_CHANGE","INDEX_OWNER","INDEX_NAME","INVALID","VIEW_RELATED","ORIGIN_CON_ID"
"VITCCDBMS","SYS_C0089197899","C","PERSONS","""ID"" IS NOT NULL","""ID"" IS NOT NULL","","","","ENABLED","NOT DEFERRABLE","IMMEDIATE","VALIDATED","GENERATED NAME","","","12/16/2019","","","","","0"
"VITCCDBMS","SYS_C0089197900","C","PERSONS","""LASTNAME"" IS NOT NULL","""LASTNAME"" IS NOT NULL","","","","ENABLED","NOT DEFERRABLE","IMMEDIATE","VALIDATED","GENERATED NAME","","","12/16/2019","","","","","0"
